course,shift,modality,min,max
CIÊNCIAS ECONÔMICAS,Matutino,3.1,"541,16","624,78"
CIÊNCIAS ECONÔMICAS,Matutino,3.2,"674,92","707,54"
CIÊNCIAS ECONÔMICAS,Matutino,4.1,"516,22","584,94"
CIÊNCIAS ECONÔMICAS,Matutino,4.2,"692,2","754,9"
CIÊNCIAS ECONÔMICAS,Matutino,x,"742,78","782,44"
CIÊNCIAS SOCIAIS,Matutino,1.1,"519,4","555,86"
CIÊNCIAS SOCIAIS,Matutino,1.2,"640,22","663,24"
CIÊNCIAS SOCIAIS,Matutino,2.1,"523,56","569,08"
CIÊNCIAS SOCIAIS,Matutino,2.2,"642,98","686,76"
CIÊNCIAS SOCIAIS,Matutino,3.1,"501,78","589,96"
CIÊNCIAS SOCIAIS,Matutino,3.2,"638,96","680,58"
CIÊNCIAS SOCIAIS,Matutino,4.1,"541,18","613,04"
CIÊNCIAS SOCIAIS,Matutino,4.2,"661,82","719,9"
CIÊNCIAS SOCIAIS,Matutino,x,"684,8",749
CIÊNCIAS SOCIOAMBIENTAIS,Noturno,1.1,"505,8","553,18"
CIÊNCIAS SOCIOAMBIENTAIS,Noturno,1.2,"628,06",638
CIÊNCIAS SOCIOAMBIENTAIS,Noturno,2.1,"494,56","550,3"
CIÊNCIAS SOCIOAMBIENTAIS,Noturno,2.2,"641,16","689,18"
CIÊNCIAS SOCIOAMBIENTAIS,Noturno,3.1,"613,16","629,32"
CIÊNCIAS SOCIOAMBIENTAIS,Noturno,3.2,"627,42","651,42"
CIÊNCIAS SOCIOAMBIENTAIS,Noturno,4.1,"559,24","559,24"
CIÊNCIAS SOCIOAMBIENTAIS,Noturno,4.2,"660,04","687,58"
CIÊNCIAS SOCIOAMBIENTAIS,Noturno,x,"663,84","724,08"
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS,Matutino,1.1,"490,02","556,02"
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS,Matutino,1.2,"618,6","635,86"
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS,Matutino,2.1,"528,88","528,88"
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS,Matutino,2.2,"640,72","646,74"
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS,Matutino,3.1,"538,68","580,92"
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS,Matutino,3.2,"581,18","654,72"
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS,Matutino,4.1,"551,72","551,72"
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS,Matutino,4.2,"611,82","679,92"
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS,Matutino,x,"675,88","776,24"
CONTROLADORIA E FINANÇAS,Matutino,1.1,"550,66","556,18"
CONTROLADORIA E FINANÇAS,Matutino,1.2,"642,42","707,28"
CONTROLADORIA E FINANÇAS,Matutino,2.1,"496,4","509,1"
CONTROLADORIA E FINANÇAS,Matutino,2.2,"662,76","683,78"
CONTROLADORIA E FINANÇAS,Matutino,3.1,"530,66","542,46"
CONTROLADORIA E FINANÇAS,Matutino,3.2,"646,86","697,84"
CONTROLADORIA E FINANÇAS,Matutino,4.1,527,"532,46"
CONTROLADORIA E FINANÇAS,Matutino,4.2,"699,3","723,08"
CONTROLADORIA E FINANÇAS,Matutino,x,"710,8","763,4"
DESIGN,Noturno,1.1,"399,48","550,12"
DESIGN,Noturno,1.2,"647,56","667,34"
DESIGN,Noturno,2.1,"552,58","552,58"
DESIGN,Noturno,2.2,"673,96","685,84"
DESIGN,Noturno,3.1,"566,48","581,5"
DESIGN,Noturno,3.2,"658,08","726,22"
DESIGN,Noturno,4.1,"646,9","646,9"
DESIGN,Noturno,4.2,"684,08","707,14"
DESIGN,Noturno,x,"703,56","736,96"
DIREITO,Matutino,1.1,"560,52","629,98"
DIREITO,Matutino,1.2,"691,54","730,34"
DIREITO,Matutino,2.1,"578,86","708,98"
DIREITO,Matutino,2.2,"709,14","752,28"
DIREITO,Matutino,3.1,"575,3","655,9"
DIREITO,Matutino,3.2,"710,9","749,76"
DIREITO,Matutino,4.1,"624,46","653,36"
DIREITO,Matutino,4.2,"728,24","774,18"
DIREITO,Matutino,x,"755,14","818,54"
DIREITO,Noturno,1.1,"596,46","680,72"
DIREITO,Noturno,1.2,"688,14","720,84"
DIREITO,Noturno,2.1,"627,76","664,14"
DIREITO,Noturno,2.2,"704,94","738,16"
DIREITO,Noturno,3.1,"553,06","626,46"
DIREITO,Noturno,3.2,"702,6","741,3"
DIREITO,Noturno,4.1,"624,6","706,02"
DIREITO,Noturno,4.2,"724,32","769,46"
DIREITO,Noturno,x,"748,64","790,28"
EDUCAÇÃO FÍSICA (Bacharelado),Matutino,1.1,"484,18","577,62"
EDUCAÇÃO FÍSICA (Bacharelado),Matutino,1.2,"643,38","676,96"
EDUCAÇÃO FÍSICA (Bacharelado),Matutino,2.1,"572,66","665,6"
EDUCAÇÃO FÍSICA (Bacharelado),Matutino,2.2,"653,3","707,02"
EDUCAÇÃO FÍSICA (Bacharelado),Matutino,3.1,"555,9","590,8"
EDUCAÇÃO FÍSICA (Bacharelado),Matutino,3.2,"670,02","686,74"
EDUCAÇÃO FÍSICA (Bacharelado),Matutino,4.1,"408,52","552,24"
EDUCAÇÃO FÍSICA (Bacharelado),Matutino,4.2,"668,52","711,66"
EDUCAÇÃO FÍSICA (Bacharelado),Matutino,x,"686,64","770,5"
EDUCAÇÃO FÍSICA (Bacharelado),Noturno,1.1,"519,1","591,42"
EDUCAÇÃO FÍSICA (Bacharelado),Noturno,1.2,"652,52","671,44"
EDUCAÇÃO FÍSICA (Bacharelado),Noturno,2.1,"521,18","572,06"
EDUCAÇÃO FÍSICA (Bacharelado),Noturno,2.2,"671,62","680,76"
EDUCAÇÃO FÍSICA (Bacharelado),Noturno,3.1,"513,48","570,38"
EDUCAÇÃO FÍSICA (Bacharelado),Noturno,3.2,"665,24","679,58"
EDUCAÇÃO FÍSICA (Bacharelado),Noturno,4.1,"544,74","544,74"
EDUCAÇÃO FÍSICA (Bacharelado),Noturno,4.2,"669,52","695,52"
EDUCAÇÃO FÍSICA (Bacharelado),Noturno,x,"681,22","741,38"
EDUCAÇÃO FÍSICA (Licenciatura),Matutino,1.1,"520,86","554,76"
EDUCAÇÃO FÍSICA (Licenciatura),Matutino,1.2,"637,8","670,02"
EDUCAÇÃO FÍSICA (Licenciatura),Matutino,2.1,"526,16","545,02"
EDUCAÇÃO FÍSICA (Licenciatura),Matutino,2.2,"642,8","660,18"
EDUCAÇÃO FÍSICA (Licenciatura),Matutino,3.1,"564,68","576,7"
EDUCAÇÃO FÍSICA (Licenciatura),Matutino,3.2,"636,9","668,42"
EDUCAÇÃO FÍSICA (Licenciatura),Matutino,4.1,"621,26","621,26"
EDUCAÇÃO FÍSICA (Licenciatura),Matutino,4.2,"644,18","695,46"
EDUCAÇÃO FÍSICA (Licenciatura),Matutino,x,"658,54","715,48"
ENFERMAGEM,Matutino,1.1,"559,06","622,56"
ENFERMAGEM,Matutino,1.2,"669,5","717,74"
ENFERMAGEM,Matutino,2.1,"516,9","625,72"
ENFERMAGEM,Matutino,2.2,"686,58","707,44"
ENFERMAGEM,Matutino,3.1,"544,98",647
ENFERMAGEM,Matutino,3.2,"688,12","711,4"
ENFERMAGEM,Matutino,4.1,"569,7","690,86"
ENFERMAGEM,Matutino,4.2,"678,18","744,18"
ENFERMAGEM,Matutino,x,"702,6","766,76"
ENGENHARIA AEROESPACIAL,Matutino,1.1,"553,62","629,4"
ENGENHARIA AEROESPACIAL,Matutino,1.2,"718,08","727,76"
ENGENHARIA AEROESPACIAL,Matutino,2.1,"623,06","623,06"
ENGENHARIA AEROESPACIAL,Matutino,2.2,"728,7","754,8"
ENGENHARIA AEROESPACIAL,Matutino,3.1,"631,34","696,66"
ENGENHARIA AEROESPACIAL,Matutino,3.2,"722,74","766,94"
ENGENHARIA AEROESPACIAL,Matutino,4.1,"595,42","595,42"
ENGENHARIA AEROESPACIAL,Matutino,4.2,"751,24","767,1"
ENGENHARIA AEROESPACIAL,Matutino,x,"766,28","822,4"
ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,1.1,"559,12","601,36"
ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,1.2,"612,4","646,46"
ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,2.1,"512,14","577,12"
ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,2.2,"594,78","650,1"
ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,3.1,"526,12","575,64"
ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,3.2,"605,84","636,84"
ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,4.1,"516,84","516,84"
ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,4.2,"593,12","656,68"
ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,x,"626,34","719,02"
ENGENHARIA AMBIENTAL,Matutino,1.1,"536,86","562,54"
ENGENHARIA AMBIENTAL,Matutino,1.2,"656,78","688,64"
ENGENHARIA AMBIENTAL,Matutino,2.1,"357,94","544,3"
ENGENHARIA AMBIENTAL,Matutino,2.2,"690,48","703,54"
ENGENHARIA AMBIENTAL,Matutino,3.1,"456,84","591,48"
ENGENHARIA AMBIENTAL,Matutino,3.2,"651,38","697,64"
ENGENHARIA AMBIENTAL,Matutino,4.1,"581,3","581,3"
ENGENHARIA AMBIENTAL,Matutino,4.2,"679,16","741,82"
ENGENHARIA AMBIENTAL,Matutino,x,"711,6","753,9"
ENGENHARIA CIVIL,Matutino,1.1,"532,78","633,64"
ENGENHARIA CIVIL,Matutino,1.2,"681,22","712,26"
ENGENHARIA CIVIL,Matutino,2.1,"548,18","609,88"
ENGENHARIA CIVIL,Matutino,2.2,"690,64","732,2"
ENGENHARIA CIVIL,Matutino,3.1,"504,12","655,58"
ENGENHARIA CIVIL,Matutino,3.2,"683,98","725,1"
ENGENHARIA CIVIL,Matutino,4.1,"463,56","636,54"
ENGENHARIA CIVIL,Matutino,4.2,"722,82","762,04"
ENGENHARIA CIVIL,Matutino,x,"733,06","782,8"
ENGENHARIA DE ALIMENTOS,Matutino,1.1,"587,1","587,1"
ENGENHARIA DE ALIMENTOS,Matutino,1.2,"602,02","656,68"
ENGENHARIA DE ALIMENTOS,Matutino,2.1,"487,86","555,06"
ENGENHARIA DE ALIMENTOS,Matutino,2.2,"601,74","670,44"
ENGENHARIA DE ALIMENTOS,Matutino,3.1,"631,86","631,86"
ENGENHARIA DE ALIMENTOS,Matutino,3.2,"596,98","633,62"
ENGENHARIA DE ALIMENTOS,Matutino,4.1,"520,42","536,38"
ENGENHARIA DE ALIMENTOS,Matutino,4.2,"601,3","679,24"
ENGENHARIA DE ALIMENTOS,Matutino,x,"639,42","748,32"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,1.1,"536,42","536,42"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,1.2,"669,98","723,64"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,2.1,"565,12","566,74"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,2.2,"674,66","713,76"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,3.1,"503,32","569,76"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,3.2,"700,94","762,64"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,4.1,"557,22","671,6"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,4.2,"731,32","792,62"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,x,"737,58","789,66"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,1.1,"437,3","613,34"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,1.2,"674,5","702,76"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,2.1,"663,3","663,3"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,2.2,"694,36","716,7"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,3.1,"549,94","590,92"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,3.2,"710,94","741,14"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,4.1,"488,42","576,68"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,4.2,"717,02","746,76"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,x,"731,16","756,56"
ENGENHARIA DE MINAS,Matutino,1.1,"560,24","567,34"
ENGENHARIA DE MINAS,Matutino,1.2,"644,62","700,62"
ENGENHARIA DE MINAS,Matutino,2.2,"683,08","723,14"
ENGENHARIA DE MINAS,Matutino,3.1,"575,78","622,02"
ENGENHARIA DE MINAS,Matutino,3.2,"674,04","719,32"
ENGENHARIA DE MINAS,Matutino,4.2,"695,52","738,46"
ENGENHARIA DE MINAS,Matutino,x,"705,76","752,22"
ENGENHARIA DE PRODUÇÃO,Matutino,1.1,"549,94",617
ENGENHARIA DE PRODUÇÃO,Matutino,1.2,"669,14","705,2"
ENGENHARIA DE PRODUÇÃO,Matutino,2.1,"572,72","603,82"
ENGENHARIA DE PRODUÇÃO,Matutino,2.2,"693,66","727,9"
ENGENHARIA DE PRODUÇÃO,Matutino,3.1,"533,86","615,34"
ENGENHARIA DE PRODUÇÃO,Matutino,3.2,"680,94","738,32"
ENGENHARIA DE PRODUÇÃO,Matutino,4.1,"515,06","542,28"
ENGENHARIA DE PRODUÇÃO,Matutino,4.2,"701,74","753,58"
ENGENHARIA DE PRODUÇÃO,Matutino,x,"740,3","796,36"
ENGENHARIA DE SISTEMAS,Noturno,1.1,"559,02","562,02"
ENGENHARIA DE SISTEMAS,Noturno,1.2,"669,9","708,08"
ENGENHARIA DE SISTEMAS,Noturno,2.1,"584,18","584,18"
ENGENHARIA DE SISTEMAS,Noturno,2.2,"681,16","695,08"
ENGENHARIA DE SISTEMAS,Noturno,3.1,"583,4","634,92"
ENGENHARIA DE SISTEMAS,Noturno,3.2,"695,08","705,88"
ENGENHARIA DE SISTEMAS,Noturno,4.1,"638,94","638,94"
ENGENHARIA DE SISTEMAS,Noturno,4.2,"704,38","741,88"
ENGENHARIA DE SISTEMAS,Noturno,x,"721,68","783,56"
ENGENHARIA ELÉTRICA,Matutino,1.1,"525,44","563,62"
ENGENHARIA ELÉTRICA,Matutino,1.2,"687,3","762,18"
ENGENHARIA ELÉTRICA,Matutino,2.1,"495,24","647,7"
ENGENHARIA ELÉTRICA,Matutino,2.2,"701,56","747,6"
ENGENHARIA ELÉTRICA,Matutino,3.1,"572,94","597,68"
ENGENHARIA ELÉTRICA,Matutino,3.2,"707,56","744,5"
ENGENHARIA ELÉTRICA,Matutino,4.1,702,"705,74"
ENGENHARIA ELÉTRICA,Matutino,4.2,"726,84","781,72"
ENGENHARIA ELÉTRICA,Matutino,x,"744,08","805,94"
ENGENHARIA FLORESTAL,Matutino,1.2,"585,62","656,1"
ENGENHARIA FLORESTAL,Matutino,2.1,"534,96","534,96"
ENGENHARIA FLORESTAL,Matutino,2.2,"637,76",665
ENGENHARIA FLORESTAL,Matutino,3.1,"530,9","530,9"
ENGENHARIA FLORESTAL,Matutino,3.2,"600,4","645,32"
ENGENHARIA FLORESTAL,Matutino,4.1,"572,08","572,08"
ENGENHARIA FLORESTAL,Matutino,4.2,"615,44","669,86"
ENGENHARIA FLORESTAL,Matutino,x,"634,26","709,58"
ENGENHARIA MECÂNICA,Matutino,1.1,"528,3","632,12"
ENGENHARIA MECÂNICA,Matutino,1.2,"687,26","716,76"
ENGENHARIA MECÂNICA,Matutino,2.1,"587,48","601,8"
ENGENHARIA MECÂNICA,Matutino,2.2,"707,92","754,38"
ENGENHARIA MECÂNICA,Matutino,3.1,"531,84","577,16"
ENGENHARIA MECÂNICA,Matutino,3.2,"697,64","755,88"
ENGENHARIA MECÂNICA,Matutino,4.1,"607,7","608,48"
ENGENHARIA MECÂNICA,Matutino,4.2,"737,76","763,66"
ENGENHARIA MECÂNICA,Matutino,x,"754,5","800,24"
ENGENHARIA MECÂNICA,Noturno,1.1,"562,86","615,82"
ENGENHARIA MECÂNICA,Noturno,1.2,"691,62","716,38"
ENGENHARIA MECÂNICA,Noturno,2.1,"576,76","600,56"
